Item Number,Condition,Value
10220-1,U,
10219-1,U,
10241-1,U,
10155-1,U,
21046-1,U,
21047-1,U,
21034-1,U,
21028-1,U,
21044-1,U,
21043-1,U,
21057-1,U,
21042-1,U,
21056-1,U,
21054-1,U,
21051-1,U,
21045-1,U,
21030-1,U,
21060-1,U,
40585-1,U,
21023-1,U,
21004-1,U,
21052-1,U,
40539-1,N,
40623-1,N,
40552-1,N,
40550-1,N,
40620-1,N,
40622-1,N,
40619-1,N,
40630-1,N,
40631-1,N,
40378-1,N,
40495-1,N,
40616-1,N,
40618-1,N,
40367-1,N,
41611-1,N,
40547-1,N,
40560-1,N,
40559-1,N,
40477-1,N,
75317-1,N,
40615-1,N,
40553-1,N,
40617-1,N,
40377-1,N,
40476-1,N,
40554-1,N,
40632-1,N,
41628-1,N,
40626-1,N,
40625-1,N,
41586-1,N,
41587-1,N,
41588-1,N,
41590-1,N,
41591-1,N,
41594-1,N,
41598-1,N,
41600-1,N,
41601-1,N,
41610-1,N,
41622-1,N,
40422-1,N,
40351-1,N,
41632-1,N,
40272-1,N,
41613-1,N,
41626-1,N,
40621-1,N,
40627-1,N,
40628-1,N,
40624-1,N,
40421-1,N,
40412-1,N,
41623-1,N,
41614-1,N,
41615-1,N,
41609-1,N,
41625-1,N,
41620-1,N,
41602-1,N,
41624-1,N,
41593-1,N,
41619-1,N,
41585-1,N,
40549-1,N,
75232-1,N,
41589-1,N,
41592-1,N,
41629-1,N,
41485-1,N,
40673-1,N,
40672-1,N,
40671-1,N,
40670-1,N,
40674-1,N,
41627-1,N,
41630-1,N,
60404-1,U,
31143-1,N,
40650-1,U,
40569-1,N,
40519-1,N,
40568-1,N,
31134-1,N,
40517-1,N,
40468-1,U,
40109-1,N,
40654-1,N,
40651-1,N,
40602-1,N,
31092-1,N,
40597-1,N,
31152-1,N,
31147-1,N,
31136-1,U,
76139-1,U,
76161-1,U,
76252-1,U,
76188-1,U,
76224-1,N,
76265-1,N,
30300-1,N,
30301-1,N,
30303-1,N,
30446-1,N,
30606-1,N,
76053-1,N,
853744-1,N,
76110-1,N,
76023-1,N,
76160-1,N,
76086-1,N,
212012-1,N,
41169-1,N,
43222-1,U,
43226-1,N,
71044-1,U,
40478-1,U,
43225-1,U,
43217-1,U,
43227-1,U,
43230-1,U,
43232-1,U,
40613-1,U,
40521-1,U,
40600-1,N,
40659-1,N,
40174-1,N,
4002019-1,N,
852535-1,N,
852753-1,N,
10274-1,U,
75827-1,U,
75978-1,U,
76421-1,U,
76414-1,U,
76393-1,U,
71043-1,U,
76405-1,U,
76391-1,U,
76417-1,U,
30651-1,N,
40598-1,N,
10253-1,U,
10257-1,U,
10271-1,U,
10262-1,U,
10258-1,U,
10242-1,U,
10252-1,U,
10306-1,U,
10300-1,U,
10289-1,N,
10281-1,U,
10304-1,U,
10321-1,U,
40646-1,U,
10314-1,U,
10280-1,U,
10317-1,U,
10316-1,U,
10283-1,U,
10311-1,U,
10323-1,U,
10290-1,U,
10295-1,U,
10309-1,U,
10315-1,U,
10298-1,U,
10279-1,U,
10313-1,U,
40580-1,N,
5006744-1,N,
40586-1,N,
40601-1,N,
10326-1,U,
10329-1,U,
10297-1,U,
10214-1,U,
10312-1,U,
10255-1,U,
10265-1,U,
40681-1,N,
40712-1,N,
21303-1,U,
21338-1,U,
21318-1,U,
21108-1,U,
21323-1,U,
21341-1,U,
21330-1,U,
21103-1,U,
21316-1,N,
21333-1,U,
21327-1,U,
21332-1,U,
21340-1,U,
21325-1,U,
92177-1,U,
21307-1,N,
21302-1,N,
21343-1,U,
21320-1,U,
21310-1,U,
21345-1,U,
21347-1,U,
77012-1,U,
31208-1,U,
31203-1,U,
31206-1,U,
31211-1,N,
76249-1,N,
76178-1,U,
76210-1,U,
76217-1,U,
76244-1,U,
76218-1,U,
76261-1,N,
6866-1,N,
76006-1,N,
76108-1,N,
5003084-1,N,
76051-1,N,
76267-1,N,
76047-1,N,
5002946-1,N,
76216-1,N,
5005256-1,N,
76269-1,U,
5008076-1,N,
76042-1,U,
76125-1,N,
76152-1,N,
76123-1,N,
76126-1,N,
76124-1,N,
76008-1,N,
76166-1,N,
76167-1,N,
76279-1,N,
76276-1,N,
76277-1,N,
76281-1,N,
76077-1,N,
76103-1,N,
76285-1,N,
76275-1,N,
76140-1,N,
76048-1,N,
76049-1,N,
76131-1,N,
6869-1,N,
76144-1,N,
76199-1,N,
76187-1,N,
30168-1,N,
76114-1,N,
76107-1,N,
242320-1,N,
242217-1,N,
682303-1,N,
242002-1,N,
242210-1,N,
242215-1,N,
242213-1,N,
242108-1,N,
76038-1,N,
76165-1,N,
76078-1,N,
30452-1,N,
40454-1,N,
71038-1,U,
71005-1,U,
71039-1,U,
71030-1,U,
71026-1,U,
71031-1,U,
71017-1,U,
71010-1,U,
71018-1,U,
71023-1,U,
71045-1,U,
71009-1,U,
71033-1,U,
71012-1,N,
71012-1,N,
71024--1,U,
71012-1,U,
71042-1,N,
4184-1,N,
4195-1,N,
30130-1,N,
40563-1,N,
40504-1,N,
40450-1,N,
40599-1,N,
40590-1,N,
5004939-1,N,
40141-1,N,
40142-1,N,
40143-1,N,
40144-1,N,
40180-1,N,
40181-1,N,
40182-1,N,
40183-1,N,
40589-1,N,
75900-1,U,
75904-1,U,
75903-1,U,
75901-1,U,
75902-1,U,
40639-1,N,
40203-1,N,
40603-1,N,
40604-1,N,
40484-1,N,
75884-1,U,
76906-1,N,
75895-1,N,
76897-1,U,
75893-1,U,
76917-1,U,
75908-1,U,
76911-1,U,
76910-1,U,
75872-1,U,
75891-1,U,
76903-1,U,
76912-1,U,
75886-1,U,
76914-1,N,
75890-1,N,
76895-1,N,
75885-1,U,
75871-1,U,
76900-1,U,
76908-1,U,
76899-1,N,
76907-1,U,
76902-1,N,
75892-1,U,
76918-1,N,
76909-1,N,
75877-1,N,
76896-1,U,
76915-1,U,
75910-1,U,
76916-1,U,
76901-1,U,
75881-1,N,
75888-1,N,
76920-1,N,
76921-1,N,
75313-1,U,
75335-1,U,
75349-1,N,
75350-1,N,
75343-1,N,
75304-1,U,
40591-1,N,
75356-1,U,
75327-1,N,
75341-1,U,
75192-1,U,
75351-1,N,
75308-1,U,
75276-1,U,
75328-1,N,
75331-1,U,
30654-1,U,
75355-1,U,
40483-1,,
7250-1,N,
10188-1,U,
30602-1,N,
40176-1,N,
40300-1,N,
75030-1,N,
75184-1,N,
75274-1,N,
75277-1,N,
75305-1,N,
75367-1,U,
75362-1,N,
75158-1,N,
75366-1,N,
75354-1,N,
75357-1,N,
75364-1,N,
75334-1,N,
75342-1,N,
75333-1,N,
75336-1,N,
75337-1,N,
9509-1,N,
75279-1,N,
75307-1,N,
75340-1,N,
75245-1,N,
75056-1,N,
75222-1,N,
75213-1,N,
75315-1,N,
75314-1,N,
75283-1,N,
75053-1,N,
75096-1,N,
75361-1,N,
75290-1,U,
75323-1,N,
7964-1,N,
75332-1,N,
75146-1,N,
75097-1,N,
7958-1,N,
75023-1,N,
10236-1,N,
75191-1,U,
7153-1,U,
75060-1,U,
75244-1,N,
6209-1,U,
5002123-1,N,
3341-1,N,
3340-1,N,
75326-1,N,
9516-1,N,
75020-1,N,
75267-1,N,
75182-1,N,
75255-1,U,
9499-1,N,
912174-1,N,
912281-1,N,
912302-1,N,
912285-1,N,
75015-1,N,
7200-1,N,
75387-1,N,
75345-1,N,
75359-1,N,
75372-1,N,
75810-1,U,
71374-1,U,
71395-1,U,
71411-1,U,
71426-1,U,
71431-1,N,
42130-1,U,
42063-1,U,
42107-1,U,
42147-1,U,
42128-1,U,
42132-1,U,
42148-1,U,
42133-1,U,
42159-1,U,
5002127-1,N,
79103-1,U,
79122-1,N,
70902-1,N,
70905-1,N,
70900-1,N,
70906-1,N,
70911-1,N,
70916-1,N,
30607-1,N,
70923-1,N,
70903-1,N,
70917-1,N,
70922-1,U,
70908-1,N,
30521-1,N,
30612-1,N,
70920-1,N,
853651-1,N,
70912-1,N,
70914-1,N,
70915-1,N,
70904-1,N,
5004929-1,N,
70910-1,N,
70913-1,N,
70909-1,N,
70840-1,U,
71006-1,U,
71016-1,U,
75379-1,N,
76922-1,N,
75025,N,
9500,N,